"Lab.Nut","TP","TP_flg","SRP","SRP_flg","NH3-N","NH3-N_flg","NO23-N","NO23-N_flg","TKN","TKN_flg","TN","TN_flg"
"J-1508",6.0e-03,,5.0e-03,"<",0.01,"<",0.03,"<",0.08,,,
"J-1509",7.0e-03,,5.0e-03,"<",0.01,"<",0.17,,0.05,"<",,
"J-1510",0.02,,0.01,,0.01,"<",0.47,,0.07,,,
"J-1512",6.0e-03,,5.0e-03,"<",0.01,"<",0.03,"<",0.07,,,
"J-1513",0.01,,8.0e-03,,0.01,"<",0.52,,0.06,,,
"J-1514",7.0e-03,,5.0e-03,"<",0.01,"<",0.03,"<",0.12,,,
"J-1515",0.03,,0.01,,0.01,"<",0.28,,0.14,,,
"J-1518",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.09,,0.11,,,
"J-1519",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.29,,0.05,"<",,
"J-1520",0.01,,0.01,,0.01,"<",0.47,,0.09,,,
"J-1521",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.15,,0.10,,,
"J-1522",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.33,,0.11,,,
"J-1523",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.39,,0.09,,,
"J-1524",6.0e-03,,5.0e-03,"<",0.01,"<",0.40,,0.17,,,
"J-1526",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.13,,0.09,,,
"J-1527",5.0e-03,"<",0.01,,0.01,"<",0.36,,0.12,,,
"J-1528",0.01,,0.01,,0.01,"<",0.53,,0.21,,,
"J-1531",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.03,"<",0.12,,,
"J-1532",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.23,,0.26,,,
"J-1533",8.0e-03,,5.0e-03,,0.01,"<",0.25,,0.13,,,
"J-1534",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.11,,0.12,,,
"J-1535",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.13,,0.12,,,
"J-1536",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.39,,0.07,,,
"J-1537",6.0e-03,,5.0e-03,"<",0.01,"<",0.31,,0.13,,,
"J-1830",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.30,,0.11,,,
"J-1831",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.40,,0.10,,,
"J-3725",5.0e-03,"<",5.0e-03,"<",0.02,,0.35,,0.13,,,
"J-3726",5.0e-03,"<",5.0e-03,"<",0.02,,0.32,,0.12,,,
"J-3727",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.03,"<",0.16,,,
"J-3728",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.10,,0.16,,,
"J-3729",5.0e-03,"<",5.0e-03,"<",0.08,,0.23,,0.15,,,
"J-5158",6.0e-03,,5.0e-03,"<",0.01,"<",0.03,"<",0.09,,,
"J-5159",8.0e-03,,5.0e-03,"<",0.01,"<",0.20,,0.06,,,
"J-5160",6.0e-03,,5.0e-03,"<",0.01,"<",0.28,,0.15,,,
"J-5161",0.01,,0.01,,0.01,"<",0.43,,0.98,,,
"J-5164",6.0e-03,,5.0e-03,"<",0.01,"<",0.03,"<",0.07,,,
"J-5165",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.20,,0.09,,,
"J-5166",0.01,,9.0e-03,,0.01,"<",0.39,,0.13,,,
"J-5167",6.0e-03,,5.0e-03,"<",0.01,"<",0.03,"<",0.10,,,
"J-5168",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.21,,0.08,,,
"J-5169",8.0e-03,,5.0e-03,"<",0.01,"<",0.27,,0.12,,,
"J-5170",0.05,,0.05,,0.07,,0.20,,0.22,,,
"J-5171",0.01,,5.0e-03,"<",0.01,"<",0.03,"<",0.05,"<",,
"J-5174",7.0e-03,,5.0e-03,"<",0.01,"<",0.03,"<",0.76,,,
"J-5175",9.0e-03,,5.0e-03,"<",0.01,"<",0.37,,0.18,,,
"J-5176",0.02,,0.01,,0.01,"<",0.23,,0.08,,,
"J-5177",0.02,,0.01,,0.01,"<",0.43,,0.12,,,
"J-5178",6.0e-03,,5.0e-03,"<",0.01,"<",0.06,,0.08,,,
"J-5179",8.0e-03,,5.0e-03,"<",0.01,"<",0.36,,0.09,,,
"J-5180",0.02,,0.01,,0.01,,0.23,,0.06,,,
"J-5181",0.01,,0.01,,0.01,"<",0.42,,0.12,,,
"J-5182",5.0e-03,,5.0e-03,"<",0.01,"<",0.03,,0.24,,,
"J-5183",5.0e-03,,5.0e-03,"<",0.01,"<",0.26,,0.09,,,
"J-5184",0.02,,0.01,,0.01,"<",0.24,,0.08,,,
"J-5185",0.01,,6.0e-03,,0.02,,0.38,,0.10,,,
"J-5186",0.02,,0.01,,0.03,,0.47,,0.14,,,
"J-5187",0.06,,5.0e-03,"<",0.01,"<",0.20,,0.31,,,
"J-5190",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.03,"<",0.08,,,
"J-5191",0.02,,0.01,,0.01,"<",0.28,,0.11,,,
"J-5192",0.01,,6.0e-03,,0.01,"<",0.40,,0.25,,,
"J-5193",0.02,,5.0e-03,"<",0.02,,0.42,,0.17,,,
"J-5194",5.0e-03,,5.0e-03,"<",0.01,"<",0.03,"<",0.10,,,
"J-5195",0.01,,6.0e-03,,0.01,"<",0.18,,0.05,"<",,
"J-5196",0.01,,0.01,,0.01,"<",0.36,,0.05,"<",,
"J-5197",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.03,"<",0.05,"<",,
"J-5198",5.0e-03,"<",5.0e-03,"<",0.03,,0.13,,0.07,,,
"J-5199",7.0e-03,,5.0e-03,"<",0.02,,0.22,,0.05,"<",,
"J-5200",0.01,,5.0e-03,"<",0.01,,0.42,,0.06,,,
"J-5201",5.0e-03,"<",5.0e-03,"<",0.02,,0.03,"<",0.05,"<",,
"J-5202",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.20,,0.10,,,
"J-5203",5.0e-03,"<",5.0e-03,"<",0.02,,0.17,,0.21,,,
"J-5204",0.01,,0.01,,0.01,"<",0.41,,0.16,,,
"J-5205",,,5.0e-03,"<",0.04,,0.03,"<",,,,
"J-5206",5.0e-03,"<",5.0e-03,"<",0.01,,0.11,,0.05,"<",,
"J-5207",9.0e-03,,5.0e-03,"<",0.01,"<",0.20,,0.15,,,
"J-5208",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.05,,0.11,,,
"J-5212",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.03,"<",0.17,,,
"J-5213",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.22,,0.22,,,
"J-5214",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.27,,0.26,,,
"J-5215",0.01,,0.01,,0.01,"<",0.45,,0.21,,,
"J-5216",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.03,"<",0.17,,,
"J-5217",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.26,,0.10,,,
"J-5218",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.16,,0.10,,,
"J-5219",0.01,,0.01,,0.05,,0.14,,0.17,,,
"J-5220",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.03,"<",0.14,,,
"J-5221",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.15,,0.13,,,
"J-5222",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.32,,0.09,,,
"J-5223",6.0e-03,,6.0e-03,,0.01,"<",0.47,,0.14,,,
"J-5228",7.0e-03,,5.0e-03,"<",0.01,"<",0.31,,0.12,,,
"J-5229",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.30,,0.14,,,
"J-5927",5.0e-03,"<",5.0e-03,"<",0.01,,0.32,,0.06,,,
"J-5928",5.0e-03,"<",5.0e-03,"<",0.01,,0.29,,0.08,,,
"J-5929",5.0e-03,"<",5.0e-03,"<",0.02,,0.04,,0.10,,,
"J-5930",5.0e-03,"<",5.0e-03,"<",0.02,,0.21,,0.08,,,
"J-5931",5.0e-03,"<",5.0e-03,"<",0.03,,0.03,,0.13,,,
"J-5932",9.0e-03,,9.0e-03,,0.01,"<",0.45,,0.15,,,
"J-6128",5.0e-03,"<",5.0e-03,"<",0.05,,0.11,,0.16,,,
"J-6129",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.35,,0.14,,,
"J-6130",0.01,,0.07,,0.01,"<",0.49,,0.17,,,
"J-6131",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.35,,0.12,,,
"J-6132",5.0e-03,"<",5.0e-03,"<",0.01,,0.35,,0.14,,,
"J-6451",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.11,,0.08,,,
"J-6452",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.32,,0.05,"<",,
"J-6453",0.01,,0.01,,0.01,"<",0.42,,0.11,,,
"J-6454",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.17,,0.05,"<",,
"J-6455",9.0e-03,,7.0e-03,,0.01,"<",0.34,,0.73,,,
"J-6456",0.01,,0.01,,0.01,"<",0.41,,0.05,"<",,
"J-6460",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.23,,0.05,"<",,
"J-6461",0.01,,8.0e-03,,0.01,"<",0.35,,0.20,,,
"J-6462",0.01,,0.01,,0.01,"<",0.44,,0.05,"<",,
"J-6463",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.22,,0.05,"<",,
"J-6464",0.01,,0.01,,0.01,"<",0.27,,0.05,"<",,
"J-6465",0.02,,5.0e-03,"<",0.01,"<",0.42,,0.05,"<",,
"J-6468",6.0e-03,,5.0e-03,"<",0.01,"<",0.23,,0.16,,,
"J-6469",0.01,,5.0e-03,"<",0.06,,0.25,,0.20,,,
"J-6470",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.10,,0.12,,,
"J-6471",0.01,,5.0e-03,"<",0.02,,0.08,,0.15,,,
"J-6474",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.19,,0.12,,,
"J-6475",8.0e-03,,5.0e-03,"<",0.01,"<",0.13,,0.11,,,
"J-6476",0.02,,0.01,,0.03,,0.42,,0.23,,,
"J-6477",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.19,,0.16,,,
"J-6478",0.01,,8.0e-03,,0.01,"<",0.35,,0.16,,,
"J-6479",0.01,,0.01,,0.01,"<",0.44,,0.17,,,
"J-6531",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.16,,0.14,,,
"J-6532",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.17,,0.16,,,
"J-6533",6.0e-03,,5.0e-03,"<",0.01,"<",0.47,,0.19,,,
"J-6534",0.01,,5.0e-03,,0.01,"<",0.45,,0.19,,,
"J-6535",6.0e-03,,0.01,,0.01,"<",0.18,,0.15,,,
"J-6536",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.19,,0.16,,,
"J-6824",8.0e-03,,7.0e-03,,0.01,,0.33,,0.12,,,
"J-6825",9.0e-03,,6.0e-03,,0.01,,0.35,,0.13,,,
"J-6828",5.0e-03,"<",5.0e-03,"<",0.01,,0.19,,0.11,,,
"J-6829",9.0e-03,,7.0e-03,,0.01,"<",0.28,,0.09,,,
"J-6830",7.0e-03,,7.0e-03,,0.01,"<",0.41,,0.09,,,
"J-6831",0.01,,0.01,,0.01,,0.43,,0.08,,,
"J-6832",5.0e-03,"<",5.0e-03,"<",0.01,,0.21,,0.06,,,
"J-6833",0.01,,8.0e-03,,0.01,"<",0.32,,0.06,,,
"J-6834",0.01,,0.01,,0.01,,0.41,,0.09,,,
"J-6835",5.0e-03,"<",5.0e-03,"<",0.01,,0.20,,0.07,,,
"J-6836",0.01,,7.0e-03,,0.01,,0.30,,0.08,,,
"J-6837",0.02,,0.01,,0.01,,0.40,,0.10,,,
"J-6840",6.0e-03,,5.0e-03,"<",0.01,,0.21,,0.17,,,
"J-6841",0.01,,8.0e-03,,0.02,,0.31,,0.12,,,
"J-6842",0.02,,0.02,,0.01,"<",0.42,,0.11,,,
"J-6844",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.17,,0.05,"<",,
"J-6845",0.06,,0.05,,0.13,,0.14,,0.29,,,
"J-6846",0.05,,8.0e-03,,0.04,,0.04,,0.05,"<",,
"J-6847",5.0e-03,,5.0e-03,"<",0.01,,0.21,,0.05,,,
"J-6848",0.01,,6.0e-03,,0.04,,0.32,,0.08,,,
"J-6849",7.0e-03,,5.0e-03,"<",0.01,,0.21,,0.05,,,
"J-6850",0.01,,5.0e-03,"<",0.04,,0.31,,0.15,,,
"J-6851",7.0e-03,,5.0e-03,"<",0.01,,0.19,,0.14,,,
"J-6852",0.02,,9.0e-03,,0.04,,0.37,,0.23,,,
"J-6855",0.02,,0.01,,0.05,,0.44,,0.17,,,
"J-6856",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.12,,0.05,"<",,
"J-6857",9.0e-03,,5.0e-03,"<",0.03,,0.19,,0.05,,,
"J-6858",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.15,,0.08,,,
"J-6859",6.0e-03,,5.0e-03,"<",0.01,,0.19,,0.07,,,
"J-6860",0.02,,0.01,,0.01,"<",0.41,,0.14,,,
"J-6861",5.0e-03,"<",5.0e-03,"<",0.01,,0.15,,0.13,,,
"J-6862",0.02,,0.02,,0.12,,0.04,,0.25,,,
"J-6865",0.02,,5.0e-03,"<",0.02,,0.05,,0.06,,,
"J-6866",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.10,,0.10,,,
"J-6867",5.0e-03,"<",5.0e-03,"<",0.01,,0.10,,0.10,,,
"J-6991",5.0e-03,"<",5.0e-03,"<",0.01,,0.16,,0.06,,,
"J-6992",5.0e-03,,5.0e-03,"<",0.01,"<",0.33,,0.08,,,
"J-6993",6.0e-03,,5.0e-03,"<",0.01,"<",0.42,,0.10,,,
"J-6994",7.0e-03,,5.0e-03,"<",0.01,"<",0.44,,0.14,,,
"J-6995",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.32,,0.07,,,
"J-6996",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.18,,0.08,,,
"J-6997",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.34,,0.08,,,
"J-6998",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.39,,0.09,,,
"J-6999",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.45,,0.09,,,
"J-7000",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.30,,0.11,,,
"J-7314",5.0e-03,"<",0.01,"<",0.01,"<",0.27,,0.07,,,
"J-7315",5.0e-03,"<",0.01,"<",0.01,"<",0.28,,0.06,,,
"J-7932",5.0e-03,"<",0.01,,0.04,,0.03,"<",,,,
"J-7933",5.0e-03,"<",5.0e-03,"<",0.02,,0.23,,,,,
"J-7934",0.01,,0.01,,0.02,,0.32,,,,,
"J-7935",5.0e-03,,5.0e-03,,0.02,,0.24,,,,,
"J-7936",5.0e-03,"<",5.0e-03,"<",0.03,,0.22,,,,,
"J-7999",6.0e-03,,5.0e-03,"<",0.02,,0.23,,0.13,,,
"J-8000",5.0e-03,"<",5.0e-03,"<",0.03,,0.24,,0.14,,,
"J-8001",5.0e-03,"<",5.0e-03,"<",0.02,,0.03,"<",0.21,,,
"J-8002",5.0e-03,"<",5.0e-03,"<",0.02,,0.24,,0.13,,,
"J-8003",7.0e-03,,1.0e-03,,0.02,,0.35,,0.16,,,
"J-8004",5.0e-03,"<",5.0e-03,"<",0.02,,0.03,"<",0.16,,,
"J-8005",5.0e-03,"<",5.0e-03,"<",0.02,,0.23,,0.15,,,
"J-8006",0.02,,5.0e-03,"<",0.03,,0.26,,0.19,,,
"J-8007",9.0e-03,,7.0e-03,,0.02,,0.03,"<",0.22,,,
"J-8008",0.01,,5.0e-03,"<",0.02,,0.23,,0.09,,,
"J-8009",5.0e-03,"<",5.0e-03,"<",0.02,,0.21,,0.18,,,
"J-8010",0.02,,0.02,,0.02,,0.34,,0.22,,,
"J-8015",0.01,,5.0e-03,"<",0.05,,0.03,"<",0.20,,,
"J-8016",5.0e-03,"<",5.0e-03,"<",0.03,,0.03,"<",0.20,,,
"J-8017",0.02,,0.01,,0.03,,0.21,,0.13,,,
"J-8018",0.01,,8.0e-03,,0.02,,0.21,,0.16,,,
"J-8019",0.01,,5.0e-03,"<",0.01,,0.03,"<",0.12,,,
"J-8020",0.01,,0.01,,0.02,,0.26,,0.09,,,
"J-8021",0.02,,0.01,,0.01,,0.32,,0.08,,,
"J-8022",0.01,,3.0e-03,,0.02,,0.17,,0.17,,,
"J-8023",0.02,,3.0e-03,,0.04,,0.43,,0.26,,,
"J-8025",0.13,,2.0e-03,,0.01,,0.23,,0.29,,,
"J-8026",9.0e-03,,1.0e-03,,0.01,,0.08,,0.18,,,
"J-8027",0.02,,0.01,,0.01,,0.29,,0.15,,,
"J-8029",6.0e-03,,5.0e-03,"<",0.01,"<",0.04,,0.14,,,
"J-8030",9.0e-03,,5.0e-03,"<",0.01,"<",0.28,,0.21,,,
"J-8031",0.01,,7.0e-03,,0.01,"<",0.25,,0.17,,,
"J-8032",0.02,,0.01,,0.01,,0.33,,0.20,,,
"J-8035",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.03,"<",0.13,,,
"J-8036",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.16,,0.07,,,
"J-8037",0.01,,0.01,,0.01,"<",0.30,,0.15,,,
"J-8038",5.0e-03,"<",5.0e-03,"<",0.02,,0.03,"<",0.11,,,
"J-8039",5.0e-03,"<",5.0e-03,"<",0.02,,0.03,"<",0.08,,,
"J-8040",5.0e-03,"<",5.0e-03,"<",0.03,,0.15,,0.10,,,
"J-8041",9.0e-03,,5.0e-03,"<",0.02,,0.19,,0.07,,,
"J-8042",7.0e-03,,5.0e-03,"<",0.01,,0.01,,0.11,,,
"J-8043",0.02,,5.0e-03,"<",0.08,,0.11,,0.17,,,
"J-8048",5.0e-03,"<",5.0e-03,"<",0.01,,0.03,"<",0.16,,,
"J-8049",5.0e-03,"<",5.0e-03,"<",0.01,,0.19,,0.16,,,
"J-8050",0.01,,0.01,,0.05,,0.18,,0.19,,,
"J-8925",0.01,"<",7.0e-03,,0.01,,0.29,,0.08,,,
"J-8927",0.01,,6.0e-03,,0.01,,0.27,,0.05,"<",,
"J-8928",6.26,,8.0e-03,,0.02,,1.50,,0.74,,,
"J-8929",2.08,,0.03,,0.03,,0.45,,1.09,,,
"J-8930",0.02,,5.0e-03,,0.02,,0.10,,0.08,,,
"J-8931",0.01,,5.0e-03,"<",0.02,,0.30,,0.12,,,
"J-8932",0.02,,5.0e-03,,0.01,,0.42,,0.08,,,
"J-8933",0.01,,5.0e-03,"<",0.09,,0.16,,0.05,,,
"J-8934",0.01,,5.0e-03,"<",0.03,,0.16,,0.05,"<",,
"J-8935",0.01,,5.0e-03,"<",0.02,,0.39,,0.05,"<",,
"J-8936",0.01,,5.0e-03,"<",0.02,,0.41,,0.05,"<",,
"J-8937",0.01,,5.0e-03,"<",0.02,,0.15,,0.05,"<",,
"J-9078",0.01,,8.0e-03,,0.03,,0.15,,0.05,"<",,
"J-9079",0.01,,0.01,,0.02,,0.20,,0.05,"<",,
"J-9080",0.02,,0.01,,0.02,,0.37,,0.05,"<",,
"J-9081",0.01,,8.0e-03,,0.02,,0.20,,0.05,"<",,
"J-9082",0.01,,0.01,,0.02,,0.33,,0.05,"<",,
"J-9083",0.02,,0.01,,0.01,,0.36,,0.05,"<",,
"J-9086",0.01,,7.0e-03,,0.02,,0.19,,0.05,"<",,
"J-9087",0.01,,8.0e-03,,0.03,,0.29,,0.05,"<",,
"J-9088",0.01,,7.0e-03,,0.02,,0.20,,0.05,"<",,
"J-9089",0.01,"<",8.0e-03,,0.02,,0.26,,0.05,"<",,
"J-9090",0.01,,7.0e-03,,0.04,,0.28,,0.05,"<",,
"J-9091",0.01,,6.0e-03,,0.02,,0.15,,0.05,"<",,
"J-9092",0.02,,0.01,,0.01,,0.33,,0.05,"<",,
"J-9093",0.02,,0.01,,0.02,,0.32,,0.05,"<",,
"J-9096",0.03,,0.01,,0.02,,0.32,,0.05,"<",,
"J-9097",0.03,,7.0e-03,,0.03,,0.05,,0.05,"<",,
"J-9098",0.08,,7.0e-03,,0.05,,0.23,,0.05,"<",,
"J-9099",0.01,,6.0e-03,,0.02,,0.22,,0.05,"<",,
"J-9100",0.02,,5.0e-03,,0.04,,0.22,,0.05,"<",,
"J-9101",0.01,,5.0e-03,,0.02,,0.21,,0.05,"<",,
"J-9102",0.02,,5.0e-03,,0.04,,0.26,,0.05,"<",,
"J-9103",0.01,,5.0e-03,,0.03,,0.20,,0.05,"<",,
"J-9104",0.01,,5.0e-03,,0.05,,0.26,,0.05,"<",,
"J-9105",0.01,,5.0e-03,,0.02,,0.16,,0.05,"<",,
"J-9106",0.01,,5.0e-03,,0.05,,0.26,,0.05,"<",,
"J-9107",0.01,,5.0e-03,,0.02,,0.14,,0.05,"<",,
"J-9108",0.02,,5.0e-03,,0.04,,0.30,,0.05,"<",,
"K-5048-1",6.0e-03,,7.0e-03,,0.01,,0.14,,0.11,,,
"K-5048-10",0.01,,7.0e-03,,0.01,,0.37,,0.12,,,
"K-5048-11",6.0e-03,,5.0e-03,"<",0.02,,0.03,"<",0.14,,,
"K-5048-12",8.0e-03,,5.0e-03,"<",0.01,"<",0.30,,0.09,,,
"K-5048-13",0.01,,8.0e-03,,0.01,,0.38,,0.08,,,
"K-5048-14",0.01,,0.01,,0.01,,0.43,,0.09,,,
"K-5048-17",6.0e-03,,5.0e-03,"<",0.01,,0.03,"<",0.11,,,
"K-5048-18",6.0e-03,,5.0e-03,"<",0.01,,0.26,,0.08,,,
"K-5048-19",0.01,,9.0e-03,,0.01,"<",0.39,,0.07,,,
"K-5048-2",0.01,,0.01,,0.01,,0.39,,0.08,,,
"K-5048-20",7.0e-03,,0.02,,0.02,,0.40,,0.14,,,
"K-5048-21",7.0e-03,,5.0e-03,,0.04,,0.08,,0.16,,,
"K-5048-22",6.0e-03,,5.0e-03,"<",0.01,,0.29,,0.10,,,
"K-5048-23",0.01,,0.01,,0.01,,0.40,,0.05,"<",,
"K-5048-24",9.0e-03,,5.0e-03,"<",0.01,,0.14,,0.13,,,
"K-5048-25",0.01,,7.0e-03,,0.01,,0.33,,0.14,,,
"K-5048-26",8.0e-03,,6.0e-03,,0.01,,0.32,,0.07,,,
"K-5048-27",0.01,,9.0e-03,,0.01,"<",0.37,,0.09,,,
"K-5048-28",7.0e-03,,5.0e-03,"<",0.01,,0.05,,0.13,,,
"K-5048-29",6.0e-03,,5.0e-03,"<",0.01,,0.22,,0.09,,,
"K-5048-3",0.03,,0.03,,0.03,,0.48,,0.28,,,
"K-5048-30",0.02,,0.01,,0.06,,0.39,,0.17,,,
"K-5048-33",0.06,,0.01,,0.02,,0.03,"<",0.20,,,
"K-5048-34",0.01,,8.0e-03,,0.02,,0.63,,0.18,,,
"K-5048-35",0.02,,0.01,,0.01,,0.31,,0.19,,,
"K-5048-36",0.01,,0.01,,0.01,,0.33,,0.13,,,
"K-5048-37",0.01,,8.0e-03,,0.03,,0.17,,0.23,,,
"K-5048-38",0.01,,0.01,,0.02,,0.42,,0.13,,,
"K-5048-39",0.07,,0.01,,0.02,,0.18,,0.30,,,
"K-5048-4",0.01,,0.01,,0.01,,0.31,,0.09,,,
"K-5048-40",0.02,,0.01,,0.01,,0.49,,0.19,,,
"K-5048-41",0.19,,0.01,,0.03,,0.18,,0.99,,,
"K-5048-42",6.0e-03,,7.0e-03,,0.02,,0.10,,0.16,,,
"K-5048-43",8.0e-03,,6.0e-03,,0.06,,0.23,,0.15,,,
"K-5048-44",8.0e-03,,6.0e-03,,0.03,,0.23,,0.14,,,
"K-5048-45",0.01,,0.01,,0.04,,0.41,,0.11,,,
"K-5048-46",0.01,,7.0e-03,,0.02,,0.04,,0.18,,,
"K-5048-47",0.02,,0.01,,0.03,,0.23,,0.17,,,
"K-5048-48",9.0e-03,,0.01,,0.01,,0.36,,0.12,,,
"K-5048-49",0.05,,0.01,,0.03,,0.15,,0.24,,,
"K-5048-5",0.01,,9.0e-03,,0.01,,0.36,,0.08,,,
"K-5048-55",7.0e-03,,6.0e-03,,0.02,,0.03,"<",0.16,,,
"K-5048-56",7.0e-03,,5.0e-03,,0.02,,0.03,"<",0.21,,,
"K-5048-57",0.02,,0.01,,0.07,,0.20,,0.16,,,
"K-5048-58",7.0e-03,,8.0e-03,,0.02,,0.37,,0.08,,,
"K-5048-59",0.01,,9.0e-03,,0.02,,0.33,,0.11,,,
"K-5048-6",8.0e-03,,5.0e-03,"<",0.01,,0.11,,0.10,,,
"K-5048-7",0.01,,0.01,,0.01,,0.42,,0.07,,,
"K-5048-8",0.01,,0.01,,0.01,,0.50,,0.09,,,
"K-5048-9",0.01,,0.01,,0.01,"<",0.39,,0.09,,,
"K-5062-1",6.0e-03,,0.01,,0.03,,0.03,,0.19,,,
"K-5062-2",6.0e-03,,7.0e-03,,0.02,,0.25,,0.15,,,
"K-5062-3",0.02,,0.02,,0.06,,0.30,,0.19,,,
"K-5062-4",6.0e-03,,7.0e-03,,0.01,,0.25,,0.15,,,
"K-5062-5",6.0e-03,,6.0e-03,,0.01,,0.21,,0.16,,,
"K5111-01",0.01,"<",5.0e-03,"<",0.06,,0.03,"<",0.22,,,
"K5111-02",0.01,"<",5.0e-03,"<",0.06,,0.13,,0.23,,,
"K5111-03",0.01,"<",5.0e-03,"<",0.09,,0.03,"<",0.26,,,
"K5111-04",0.01,"<",5.0e-03,"<",0.06,,0.14,,0.21,,,
"K5111-05",0.01,"<",5.0e-03,"<",0.04,,0.24,,0.21,,,
"K5111-06",0.03,,0.01,,0.03,,0.31,,0.26,,,
"K5111-07",0.01,"<",5.0e-03,"<",0.02,,0.24,,0.16,,,
"K5111-08",0.03,,0.01,,0.01,,0.31,,0.17,,,
"K5111-11",0.01,"<",5.0e-03,"<",0.04,,0.03,"<",0.20,,,
"K5111-12",0.01,"<",5.0e-03,"<",0.05,,0.18,,0.20,,,
"K5111-13",0.02,,5.0e-03,"<",0.04,,0.27,,0.22,,,
"K5111-14",0.01,,5.0e-03,"<",0.03,,0.20,,0.20,,,
"K5111-15",0.01,,5.0e-03,"<",0.03,,0.03,"<",0.24,,,
"K5111-16",0.01,,5.0e-03,"<",0.15,,0.18,,0.20,,,
"K5111-17",0.02,,5.0e-03,,0.06,,0.29,,0.16,,,
"K5111-18",0.04,,0.01,,0.03,,0.31,,0.19,,,
"K5111-19",0.01,,8.0e-03,,0.05,,0.03,"<",0.27,,,
"K5111-20",0.01,,5.0e-03,"<",0.03,,0.22,,0.18,,,
"K5111-21",0.02,,0.01,,0.04,,0.23,,0.20,,,
"K5111-22",0.03,,0.01,,0.03,,0.22,,0.20,,,
"K5111-23",0.03,,5.0e-03,"<",0.04,,0.03,"<",0.28,,,
"K5111-26",0.01,,5.0e-03,"<",0.05,,0.07,,0.25,,,
"K5111-27",0.01,,5.0e-03,"<",0.04,,0.26,,0.23,,,
"K5111-28",0.02,,8.0e-03,,0.05,,0.37,,0.09,,,
"K5111-29",0.03,,0.01,,0.04,,0.36,,0.20,,,
"K5111-30",0.02,,5.0e-03,"<",0.04,,0.17,,0.31,,,
"K5111-31",0.01,,5.0e-03,"<",0.06,,0.35,,0.21,,,
"K5111-32",0.02,,9.0e-03,,0.06,,0.33,,0.17,,,
"K5111-33",0.03,,0.01,,0.09,,0.37,,0.24,,,
"K5111-34",0.04,,6.0e-03,,0.07,,0.56,,0.30,,,
"K5111-35",0.06,,0.01,,0.06,,0.37,,0.16,,,
"K5111-36",0.24,,0.03,,0.06,,0.45,,0.31,,,
"K5111-37",0.02,,5.0e-03,"<",0.06,,0.20,,0.28,,,
