"Lab.Maj","Cond","pH","TSS","TSS_flg","TDS","TDS_flg","Ca","Ca_flg","Mg","Mg_flg","Na","Na_flg","K","K_flg","CO3","CO3_flg","HCO3","HCO3_flg","Alkalinity","Alkalinity_flg","Cl","Cl_flg","SO4","SO4_flg","SiO2","SiO2_flg","Fe","Fe_flg"
"B-12785",945.00,8.10,,,638.00,,77.75,,26.24,,83.68,,4.69,,0.00,,169.63,,,,62.75,,255.53,,,,,
"B-12786",646.00,8.10,,,426.00,,56.51,,18.71,,50.11,,3.12,,12.30,,103.12,,,,38.29,,164.27,,,,,
"B-12787",652.00,8.10,,,428.00,,56.91,,18.95,,50.11,,3.12,,0.00,,128.14,,,,36.16,,167.15,,,,,
"B-12788",641.00,8.40,,,417.00,,56.51,,17.98,,47.81,,3.12,,11.40,,116.54,,,,33.33,,159.47,,,,,
"B-12789",833.00,8.50,,,567.00,,72.14,,23.81,,70.80,,3.91,,13.80,,130.58,,,,47.86,,223.83,,,,,
"B-12790",917.00,8.10,,,621.00,,76.14,,26.49,,80.92,,3.91,,16.50,,136.68,,,,59.92,,237.28,,,,,
"B-12791",936.00,8.40,,,639.00,,78.55,,26.24,,83.68,,4.69,,17.40,,137.29,,,,62.75,,259.37,,,,,
"B-12792",962.00,7.80,,,660.00,,78.55,,26.73,,87.36,,4.69,,0.00,,181.22,,,,63.46,,261.29,,,,,
"B-12793",1040.00,8.30,,,727.00,,84.16,,32.56,,91.95,,4.69,,12.60,,136.07,,,,67.01,,311.25,,,,,
"B-12794",1040.00,8.30,,,736.00,,84.96,,32.56,,91.95,,4.69,,13.20,,135.46,,,,63.46,,324.69,,,,,
"B-12795",1230.00,8.00,,,877.00,,102.60,,39.86,,110.35,,4.69,,0.00,,183.66,,,,77.64,,390.02,,,,,
"B-12796",907.00,8.40,,,611.00,,72.14,,26.24,,84.60,,4.69,,19.50,,133.63,,,,59.92,,245.92,,,,,
"B-12797",975.00,8.50,,,657.00,,77.75,,27.70,,91.03,,4.69,,18.00,,146.44,,,,65.59,,265.14,,,,,
"B-12798",781.00,8.40,,,522.00,,56.91,,23.81,,70.80,,3.91,,7.80,,111.66,,,,47.15,,224.79,,,,,
"B-12799",785.00,8.40,,,522.00,,57.31,,23.81,,71.72,,3.91,,11.70,,104.34,,,,49.28,,224.79,,,,,
"B-12800",800.00,8.00,,,533.00,,64.12,,23.09,,68.96,,3.91,,0.00,,152.54,,,,45.73,,214.22,,,,,
"B-12801",778.00,8.50,,,517.00,,65.72,,22.36,,66.21,,3.91,,13.20,,123.86,,,,43.25,,214.22,,,,,
"B-12802",860.00,8.50,,,568.00,,73.74,,24.30,,74.48,,4.69,,14.70,,128.14,,,,48.57,,245.92,,,,,
"B-12803",959.00,8.50,,,652.00,,79.35,,27.22,,85.52,,4.69,,15.00,,141.56,,,,58.50,,267.06,,,,,
"B-12804",968.00,8.20,,,662.00,,80.95,,26.73,,86.44,,4.69,,0.00,,170.85,,,,61.33,,282.43,,,,,
"B-12805",973.00,8.10,,,657.00,,81.75,,27.22,,86.44,,4.69,,0.00,,172.68,,,,59.92,,267.06,,,,,
"B-12806",978.00,8.20,,,652.00,,82.56,,26.73,,87.36,,4.69,,0.00,,171.46,,,,59.92,,284.35,,,,,
"B-12807",969.00,8.50,,,655.00,,81.75,,26.73,,86.44,,4.69,,18.00,,134.24,,,,62.04,,268.98,,,,,
"B-12808",966.00,8.10,,,656.00,,82.56,,26.73,,85.52,,4.69,,0.00,,172.68,,,,60.62,,280.51,,,,,
"B-12809",815.00,8.50,,,551.00,,69.33,,23.57,,69.88,,3.91,,17.10,,118.98,,,,44.32,,226.71,,,,,
"B-12977",740.00,8.30,,,492.00,,57.31,,22.36,,65.75,,3.51,,9.90,,112.27,,,,43.25,,204.62,,,,,
"B-12978",741.00,8.20,,,484.00,,57.71,,22.36,,65.29,,3.51,,0.00,,130.58,,,,42.54,,207.50,,,,,
"B-12979",811.00,8.30,,,548.00,,67.73,,23.81,,70.34,,3.91,,11.70,,128.75,,,,47.15,,222.87,,,,,
"B-12980",812.00,8.30,,,557.00,,71.33,,23.09,,68.51,,3.91,,4.80,,126.92,,,,43.25,,233.43,,,,,
"B-12981",924.00,8.40,,,630.00,,78.55,,26.73,,82.76,,4.69,,13.20,,133.63,,,,57.08,,267.06,,,,,
"B-12982",953.00,8.40,,,655.00,,80.95,,27.70,,85.52,,4.69,,13.80,,138.51,,,,60.62,,267.06,,,,,
"B-12983",934.00,8.40,,,634.00,,75.34,,27.22,,85.52,,4.69,,12.60,,128.75,,,,63.46,,265.14,,,,,
"B-12984",945.00,8.50,,,646.00,,79.35,,27.70,,84.60,,4.69,,16.50,,134.24,,,,61.33,,276.66,,,,,
"B-12985",954.00,8.50,,,643.00,,80.15,,27.70,,86.44,,4.69,,15.60,,137.29,,,,62.04,,268.98,,,,,
